Time (hrs)	Pws (psia)
 15.334167	3090.570000
 15.338333	3093.810000
 15.342500	3096.550000
 15.346667	3100.030000
 15.350833	3103.270000
 15.355000	3106.770000
 15.359167	3110.010000
 15.363333	3113.250000
 15.367500	3116.490000
 15.375833	3119.480000
 15.380000	3122.480000
 15.388333	3128.960000
 15.396667	3135.920000
 15.405000	3141.170000
 15.413333	3147.640000
 15.425833	3161.950000
 15.438333	3170.680000
 15.450833	3178.390000
 15.463333	3187.120000
 15.475833	3194.240000
 15.492500	3205.960000
 15.509167	3216.680000
 15.525833	3227.890000
 15.542500	3238.370000
 15.559167	3249.070000
 15.580000	3261.790000
 15.621668	3287.210000
 15.663333	3310.150000
 15.705000	3334.340000
 15.746668	3356.270000
 15.788333	3374.980000
 15.830000	3394.440000
 15.871668	3413.900000
 15.913333	3433.830000
 15.955000	3448.050000
 15.996668	3466.260000
 16.038333	3481.970000
 16.080000	3493.690000
 16.142500	3518.630000
 16.205000	3537.340000
 16.267500	3553.550000
 16.330000	3571.750000
 16.392500	3586.230000
 16.455000	3602.950000
 16.517500	3617.410000
 16.580000	3631.150000
 16.642500	3640.860000
 16.705000	3652.850000
 16.767500	3664.320000
 16.830000	3673.810000
 16.955000	3692.270000
 17.080000	3705.520000
 17.205000	3719.260000
 17.330000	3732.230000
 17.580000	3749.710000
 17.705000	3757.190000
 17.830000	3763.440000
 18.080000	3774.650000
 18.330000	3785.110000
 18.580000	3794.060000
 18.830000	3799.800000
 19.080000	3809.500000
 19.330000	3815.970000
 19.580000	3820.200000
 19.830000	3821.950000
 20.080000	3823.700000
 20.330000	3826.450000
 20.580000	3829.690000
 20.830000	3832.640000
 21.080000	3834.700000
 21.330000	3837.190000
 21.580000	3838.940000
 22.080000	3838.020000
 22.580000	3840.780000
 23.080000	3843.010000
 23.580000	3844.520000
 24.080000	3846.270000
 24.580000	3847.510000
 25.080000	3848.520000
 25.580000	3850.010000
 26.080000	3850.750000
 26.580000	3851.760000
 27.080000	3852.500000
 27.580000	3853.510000
 28.080000	3854.250000
 28.580000	3855.070000
 29.080000	3855.500000
 29.830000	3856.500000
 30.580000	3857.250000
 31.330000	3857.990000
 32.080000	3858.740000
 32.830000	3859.480000
 33.580000	3859.990000
 34.330000	3860.730000
 35.080000	3860.990000
 35.830000	3861.490000
 36.580000	3862.240000
 37.580000	3862.740000
 38.580000	3863.220000
 39.580000	3863.480000
 40.580000	3863.990000
 41.580000	3864.490000
 42.580000	3864.730000
 43.830000	3865.230000
 45.330000	3865.740000
